"wdpaid","wdpa_pid","name","iso3","country","2004","2005","2006","2007","2008","2010","2011","2012","2013","2014","2015","2016","2017"
1,"1","Diamond Reef and Salt Fish Tail Reef","ATG","Antigua and Barbuda",20,20,20,20,20,20,20,20,20,20,14.572487,14.572487,14.572487
2,"2","Palaster Reef","ATG","Antigua and Barbuda",5,5,5,5,5,5,5,5,5,5,3.829107,3.829107,3.829107
14,"14","Tierra del Fuego","ARG","Argentina",1260,1260,630,1260,630,8.71,8.71,8.71,8.71,8.71,8.71,8.71,8.71
24,"24","Inagua National Park","BHS","Bahamas",743.33,743.33,743.33,743.33,743.33,74.333,74.333,74.333,74.333,74.333,NA,NA,NA
26,"26","Union Creek","BHS","Bahamas",18.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"27","Folkstone","BRB","Barbados",2.3,2.3,2.3,2.3,2.3,2.277,2.277,2.277,2.277,2.277,2.277,2.3,2.3
42,"42","Reserva Biológica Do Lago Piratuba","BRA","Brazil",3570,3570,3950,3570,3570,NA,NA,NA,NA,NA,NA,NA,NA
46,"46","Reserva Biológica Atol Das Rocas","BRA","Brazil",362.49,362.49,362.49,362.49,362.49,362.49,362.49,362.49,362.49,362.49,362.49,362.49,362.49
47,"47","Reserva Biológica De Sooretama","BRA","Brazil",240,240,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"49","Reserva Biológica De Poço Das Antas","BRA","Brazil",50,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA
51,"51","Reserva Biológica Do Córrego Do Veado","BRA","Brazil",23.92,23.92,23.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"57","Parque Nacional Do Cabo Orange","BRA","Brazil",6190,6190,6190,6190,6190,1200,1200,1200,1200,1200,1200,1200,1200
61,"61","Parque Nacional Dos Lençois Maranhenses","BRA","Brazil",1550,1550,1550,1550,1550,120,120,120,120,120,120,120,120
68,"68","Parque Nacional Do Monte Pascoal","BRA","Brazil",225,225,225,255,255,1.51,NA,1.51,1.51,1.51,NA,1.51,1.51
74,"74","Parque Nacional Da Tijuca","BRA","Brazil",32,32,32,32,32,NA,NA,NA,NA,NA,NA,NA,NA
78,"78","RMS Rhone","VGB","Virgin Islands, British",3.24,3.24,3.24,3.24,3.24,3.1104,3.1104,3.1104,3.1104,3.1104,3.1104,3.1104,NA
79,"79","Flamingo Pond, Anegada","VGB","Virgin Islands, British",4.49,4.49,4.49,4.49,4.49,0.67,0.67,0.67,0.67,0.67,NA,NA,NA
80,"80","West Dog","VGB","Virgin Islands, British",0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,NA
81,"81","Devils Bay","VGB","Virgin Islands, British",0.23,0.23,0.23,0.23,0.23,0.17,0.17,0.17,0.17,0.17,NA,NA,NA
83,"83","Laguna San Rafael","CHL","Chile",17420,17420,17420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,"92","Cabo de Hornos","CHL","Chile",630.93,630.93,630.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,"97","Archipielago Juan Fernadez","CHL","Chile",95.71,95.71,95.71,95.71,95.71,48.01,48.01,NA,NA,NA,NA,NA,NA
99,"99","Isla Guamblin","CHL","Chile",106.25,106.25,106.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,"101","Bosque Fray Jorge","CHL","Chile",99.59,99.59,99.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,"105","Rapa Nui","CHL","Chile",71.3,71.3,71.3,NA,71.3,NA,NA,NA,NA,NA,NA,NA,NA
114,"114","Laguna Parrillar","CHL","Chile",188.14,188.14,188.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"116","Magallanes","CHL","Chile",135,135,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,"118","Lago Penuelas","CHL","Chile",92.6,92.6,90.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,"121","Archipielago Juan Fernández","CHL","Chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,"125","Cienaga Grande De Santa Marta","COL","Colombia",230,230,230,230,230,NA,NA,NA,NA,NA,NA,NA,NA
126,"126","Los Flamencos","COL","Colombia",70,70,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"132","Sierra Nevada De Santa Marta","COL","Colombia",3830,3830,3830,3830,3830,0.04,NA,NA,NA,NA,NA,NA,NA
140,"140","Sanquianga","COL","Colombia",800,800,800,800,800,0.51,NA,NA,NA,NA,NA,NA,NA
150,"150","Isla De Salamanca","COL","Colombia",210,210,210,562,562,342.82,288.8453,288.8453,288.8453,288.8453,NA,NA,NA
152,"152","Tayrona","COL","Colombia",150,150,150,150,150,30,NA,40,NA,NA,NA,NA,NA
161,"161","Isla Guayabo","CRI","Costa Rica",1.43,1.43,1.43,0.15,0.15,0.06,0.06,0.06,0.06,0.06,NA,NA,NA
164,"164","Corcovado","CRI","Costa Rica",475.63,475.63,475.63,424.53,445.13,20.44,20.44,20.44,20.44,20.44,20.44,20.44,20.44
166,"166","Santa Rosa","CRI","Costa Rica",372.17,NA,NA,NA,372.17,NA,NA,NA,NA,NA,NA,NA,NA
167,"167","Tortuguero","CRI","Costa Rica",189.46,189.46,189.46,189.46,189.46,526.81,526.81,526.81,526.81,526.81,526.81,526.81,526.81
170,"170","Isla del Coco","CRI","Costa Rica",NA,NA,NA,NA,1543.19,1948.3,1948.3,1948.3,1948.3,1948.3,1948.3,1948.3,1948.3
180,"180","Del Este","DOM","Dominican Republic",420,NA,NA,NA,420,NA,299.14,299.14,299.14,299.14,299.14,299.14,299.14
181,"181","Los Haitises","DOM","Dominican Republic",NA,NA,NA,NA,1543,NA,511,511,511,511,NA,NA,NA
187,"187","Galápagos","ECU","Ecuador",6937,7618.44,7618.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,"189","Machalilla","ECU","Ecuador",561.84,561.84,561.84,750.59,750.59,200,200,200,200,200,NA,417.54,417.54
201,"201","Río Plátano","HND","Honduras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,"202","Ocho Rios","JAM","Jamaica",NA,NA,NA,2.78,2.78,2.78,2.78,133.186,133.186,133.186,133.186,133.186,133.186
203,"203","Montego Bay","JAM","Jamaica",15.3,15.3,15.3,15.3,15.3,15.3,15.3,14.324,14.324,14.324,14.324,14.324,14.324
204,"204","Caravelle","MTQ","Martinique",4.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,"219","Lagunas de Chacahua","MEX","Mexico",141.87,141.87,141.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,"230","Bonaire","BES","Bonaire, Sint Eustatius and Saba",26,NA,NA,NA,27,NA,27,27,27,27,27,27,27
232,"232","Curacao","CUW","Curacao",18.6,23.1,23.1,18.6,10.4,10.4,10.4,10.4,10.4,10.4,NA,NA,NA
233,"233","Flamingo (Bonaire) Sanctuary","BES","Bonaire, Sint Eustatius and Saba",0.55,0.55,0.55,0.55,0.55,NA,NA,NA,NA,NA,NA,NA,NA
236,"236","Darién","PAN","Panama",5790,5790,5790,5790,5790,28.41,28.41,28.41,28.41,28.41,NA,NA,NA
238,"238","Soberania","PAN","Panama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,"239","Portobelo","PAN","Panama",359.29,359.29,359.29,359.29,358.35,NA,NA,NA,NA,NA,NA,NA,NA
250,"250","de Paracas","PER","Peru",3350,3350,3350,3350,3350,2000,2000,2000,2000,2000,2000,NA,NA
250,"2500001","Paracas","PER","Peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA
250,"2500002","Paracas","PER","Peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,"555556832","Paracas","PER","Peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,"263","Barro Colorado","PAN","Panama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,"269","Noroeste","PER","Peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,"272","Cabo Rojo","PRI","Puerto Rico",2.38,2.38,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,"273","Desecheo","PRI","Puerto Rico",1.46,1.46,1.46,1.46,1.46,NA,6.8,6.8,6.8,6.8,NA,NA,NA
280,"280","Wia-Wia","SUR","Suriname",NA,NA,NA,NA,360,154.63,154.63,154.63,154.63,154.63,154.63,154.63,154.63
281,"281","Coppename Monding","SUR","Suriname",120,120,120,120,120,231.35,231.35,231.35,231.35,231.35,231.35,231.35,231.35
282,"282","Galibi","SUR","Suriname",40,40,40,40,40,21.14,21.14,21.14,21.14,21.14,21.14,21.14,21.14
287,"287","Southern Watershed","TTO","Trinidad and Tobago",18.74,18.74,18.74,18.74,18.74,NA,NA,NA,NA,NA,NA,NA,NA
288,"288","Bush Bush","TTO","Trinidad and Tobago",15.54,15.54,15.54,15.54,15.54,NA,NA,NA,NA,NA,NA,NA,NA
290,"290","Morne L'Enfer Reserve","TTO","Trinidad and Tobago",20.65,20.65,20.65,20.65,20.65,NA,NA,NA,NA,NA,NA,NA,NA
292,"292","St. Giles Island","TTO","Trinidad and Tobago",0.29,0.29,0.29,0.29,0.29,0.3,0.3,0.3,0.3,0.3,0.3,NA,NA
300,"300","Buck Island","VIR","Virgin Islands, U.S.",0.18,0.18,0.18,0.18,0.18,1.13,1.13,1.13,1.13,1.13,NA,NA,NA
301,"301","Green Cay","VIR","Virgin Islands, U.S.",0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.04,0.04,0.04,NA,NA,NA
303,"303","Costa Atl�ntica","URY","Uruguay",6.5,6.5,6.5,6.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA
304,"304","Fortaleza de Sta. Teresa.","URY","Uruguay",32.9,32.9,32.9,32.9,32.9,NA,NA,NA,NA,NA,NA,NA,NA
308,"308","Laguna de las Marites","VEN","Venezuela, Bolivarian Republic of",36.74,36.74,36.74,36.74,36.74,18.37,18.37,18.37,18.37,18.37,18.37,18.37,18.37
310,"310","Cerros Matasiete y Guayamurí","VEN","Venezuela, Bolivarian Republic of",16.72,16.72,16.72,16.72,16.72,1.93,1.93,1.93,1.93,1.93,NA,NA,NA
