"wdpaid","name","iso3","country","year1","year2","area_km1","area_km2","area_change_km","area_change_perc"
1,"Diamond Reef","ATG","Antigua & Barbuda",2003,2004,50.9278237695031,8.54190411512136,-42.3859196543817,-83.2274315239119
2,"Palaster Reef","ATG","Antigua & Barbuda",2003,2004,33.5602593571752,6.90575970398652,-26.6544996531887,-79.4228059131192
6,"Los Glaciares","ARG","Argentina",2012,2013,5378.3540482656,7292.23539403861,1913.88134577301,35.5848895144825
7,"Lanín","ARG","Argentina",2012,2013,2172.42862098665,4181.88141256633,2009.45279157967,92.497989216651
8,"Los Alerces","ARG","Argentina",2012,2013,1873.87519095311,2588.87312094115,714.997929988036,38.156112714442
14,"Tierra del Fuego","ARG","Argentina",2012,2013,699.544326162842,628.442287703868,-71.1020384589739,-10.1640504825455
15,"Iguazú","ARG","Argentina",2012,2013,469.228159674719,654.795662673729,185.56750299901,39.5473927071321
17,"Lago Puelo","ARG","Argentina",2012,2013,192.659394253204,240.40781005776,47.7484158045559,24.7838502709098
30,"Isiboro Securé","BOL","Bolivia",2006,2007,10300.7659182162,12416.2776970093,2115.51177879309,20.5374221255912
31,"Noel Kempff Mercado","BOL","Bolivia",2002,2003,10986.3705218131,15923.939275829,4937.56875401591,44.9426746004288
33,"Sajama","BOL","Bolivia",2002,2003,48.513301439167,268.026701116853,219.513399677686,452.480851984364
33,"Sajama","BOL","Bolivia",2006,2007,268.026699805023,985.862674588584,717.835974783561,267.822562194644
35,"Manuripi","BOL","Bolivia",2002,2003,16702.7183860871,7730.14548731939,-8972.57289876775,-53.7192371407138
44,"Jarú","BRA","Brazil",2006,2007,2937.15615160428,3491.59821496694,554.442063362667,18.8768330570314
48,"Una","BRA","Brazil",2010,2011,106.645902453376,186.222599412066,79.5766969586905,74.6176788118797
55,"Amazônia","BRA","Brazil",2006,2007,9367.87275888838,16334.4369921933,6966.5642333049,74.3665548477366
55,"Amazônia","BRA","Brazil",2010,2011,16334.4381691231,11194.6407612915,-5139.79740783162,-31.4660189387313
67,"Brasilia","BRA","Brazil",2006,2007,311.84564137294,421.261377524219,109.415736151279,35.0865048713081
71,"Aparados da Serra","BRA","Brazil",2006,2007,119.035601010248,131.107925116407,12.0723241061599,10.1417760768231
72,"Serra dos Órgãos","BRA","Brazil",2010,2011,105.510819516019,201.159851424511,95.6490319084927,90.653292569651
74,"Tijuca","BRA","Brazil",2010,2011,34.7396295553562,39.7704310318118,5.03080147645556,14.481448250446
75,"Ubajara","BRA","Brazil",2006,2007,23.062078036615,63.1286142489625,40.0665362123475,173.733417035252
89,"Torres del Paine","CHL","Chile",2005,2006,3684.64486683402,2194.98697163876,-1489.65789519525,-40.4288051910745
90,"Puyehue","CHL","Chile",2005,2006,1739.02098269653,1123.93186665674,-615.089116039789,-35.3698501720222
91,"Villarrica","CHL","Chile",2005,2006,1022.01626446708,419.251478193388,-602.764786273694,-58.9780033087828
91,"Villarrica","CHL","Chile",2011,2012,419.25147819339,598.923030210266,179.671552016876,42.855317479405
91,"Villarrica","CHL","Chile",2013,2014,598.912588872302,533.513084532233,-65.3995043400683,-10.9197077428627
97,"Archipielago Juan Fernadez","CHL","Chile",2013,2014,49.1635071090303,97.9225824050142,48.7590752959839,99.1773739571723
99,"Isla Guamblin","CHL","Chile",2005,2006,108.357229158672,157.39613516935,49.0389060106782,45.2566998911244
100,"La Campana","CHL","Chile",2005,2006,69.9237357205481,78.4550066922432,8.53127097169509,12.2008226302304
101,"Bosque Fray Jorge","CHL","Chile",2005,2006,129.633767639399,90.1060660899388,-39.5277015494603,-30.4918249845319
104,"Nahuelbuta","CHL","Chile",2005,2006,103.200141877421,64.0440071589004,-39.1561347185203,-37.9419388444536
105,"Rapa Nui","CHL","Chile",2011,2012,165.325785329311,121.707862956732,-43.6179223725792,-26.3830123569031
105,"Rapa Nui","CHL","Chile",2013,2014,121.709941505988,47.463675281126,-74.2462662248618,-61.0026307680126
107,"Pali Aike","CHL","Chile",2005,2006,188.372711212464,50.5343654353559,-137.838345777108,-73.1732026841412
110,"Cerro Castillo","CHL","Chile",2005,2006,891.277704306549,1379.12981873707,487.852114430526,54.7362636890031
111,"Nuble","CHL","Chile",2005,2006,693.29032673822,763.847788607416,70.557461869196,10.1771882785605
112,"Alto Biobio","CHL","Chile",2005,2006,818.498728286357,441.795117093166,-376.70361119319,-46.0237258989849
112,"Alto Biobio","CHL","Chile",2013,2014,441.029874318914,306.669045956261,-134.360828362653,-30.4652442354722
113,"Malalcahuello","CHL","Chile",2005,2006,322.730306912993,111.458282121168,-211.272024791825,-65.4639555896383
113,"Malalcahuello","CHL","Chile",2013,2014,111.456141514899,136.705670074981,25.2495285600822,22.6542281267713
114,"Laguna Parrillar","CHL","Chile",2005,2006,96.4644249738571,190.787411576554,94.3229866026971,97.7800744971628
114,"Laguna Parrillar","CHL","Chile",2013,2014,190.77252741445,221.092222052597,30.3196946381471,15.8931136726401
115,"Nalcas","CHL","Chile",2005,2006,725.138063022578,201.515093466682,-523.622969555896,-72.2101067723971
116,"Magallanes","CHL","Chile",2005,2006,73.2167621866745,208.28112719656,135.064365009886,184.47191732615
117,"China Muerta","CHL","Chile",2013,2014,125.881090686352,85.416460659855,-40.4646300264975,-32.1451218811886
119,"Coyhaique","CHL","Chile",2005,2006,11.2821876648685,25.6543542509851,14.3721665861166,127.388118448606
126,"Los Flamencos","COL","Colombia",2002,2003,110.945856977255,79.191376375784,-31.7544806014711,-28.621601082392
128,"Los Colorados","COL","Colombia",2002,2003,53.6973064239482,10.6837593134134,-43.0135471105348,-80.1037332691075
130,"Sierra De La Macarena","COL","Colombia",2002,2003,10413.5465318632,6217.07347887858,-4196.47305298459,-40.2982119506001
131,"Paramillo","COL","Colombia",2010,2011,4702.84941205889,5357.50279927181,654.653387212925,13.9203561469411
135,"Amacayacu","COL","Colombia",2002,2003,2057.21896916259,2750.0311735783,692.812204415706,33.6771250314555
136,"Nevado Del Huila","COL","Colombia",2002,2003,860.223423441081,1582.96996087263,722.746537431554,84.0184674977124
